Ball change,http://en.wikipedia.org/wiki/Ball_change,"Ball change is a dance move that consists of two steps: or a partial weight transfer on the ball of a foot behind or by the other foot, followed by a step on the other foot. This action has a syncopated feeling and counted &1, or &2, or a1, or a2, etc., i.e., the 'ball' step splits off the end of a beat. It is used, e.g., in the kick ball change."
Basic figure,http://en.wikipedia.org/wiki/#Basic_movement,Same as Basic movement
Basic movement,http://en.wikipedia.org/wiki/Basic_movement_(dance),Basic movement is the very basic step that defines the character of a dance. Often it is called just thus: 'Basic Movement' or 'Basic Step'. For some dances it is sufficient to know the basic step performed in different handholds and dance positions to enjoy it socially.
Basic step,http://en.wikipedia.org/wiki/#Basic_movement,Same as Basic movement.
Box step,http://en.wikipedia.org/wiki/Box_Step,"Box Step is a dance figure named so because the steps rest in the four corners of a square. It is used, e.g., in American Style ballroom dances: Rumba bronze-level Foxtrot. The leader begins with the left foot and proceeds as follows. First half-box: Forward-side-together .Second half-box: Backwards-side-together. Every step is with full weight transfer. During the second and fourth step it is advised the foot to travel along two sides of the box, rather than along its diagonal.Rhythm varies. E.g., it is '1-2-3,4-5-6' in Waltz and 'Sqq, Sqq' in Rumba."
Chaines / Chain turns / Chaines turns,http://en.wikipedia.org/wiki/Glossary_of_ballet_terms#Cha.C3.AEn.C3.A9s,"French for 'chain', a series of quick turns on first position alternating feet with progression along a straight line or circle."
Chasse,http://en.wikipedia.org/wiki/Chasse,"Chasse is a dance step with a triple step pattern used in many forms of dance. It is a gliding, flowing step with the feet essentially following a step together step pattern. Timing and length of steps vary from dance to dance."
Closed change,http://en.wikipedia.org/wiki/Closed_and_Open_Changes,"Closed Change is a basic step in the Waltz. The man steps forward on either foot whilst the lady steps backward on the opposing foot (e.g.: the man steps forward on his right foot whilst the lady steps back on her left). They will then step to the side on the other foot, and conclude the figure by closing the first foot beside the second (hence the name 'closed' of the step). Each step takes up a full beat of the music."
Cross-body lead,http://en.wikipedia.org/wiki/Cross-body_lead,"Cross-body lead (CBL) is a common and useful move in Latin dances such as Salsa, Mambo, Rumba and Cha-cha-cha. Basically, the man on counts 2 and 3 of his basic step (assuming dancing on 1) does a quarter-left turn (90° counterclockwise) while still holding on to the woman. On counts 4 and 5, he leads the woman forward across him, i.e., firmly leads her with his right hand on her back, so that she travels across and turns around and faces the opposite direction she was facing. At the same time, the man does another quarter-left turn as necessary in order to follow the woman and face her. At the end of the move, the dancers have their positions exchanged. The cross-body lead can be done with single-hand or double hand hold, with or without a woman's underarm turn, or leading the woman to do a free spin."
Dosado,http://en.wikipedia.org/wiki/Dosado,"Dosado is a circular movement where two people, who are initially facing each other, walk around each other without or almost without turning, i.e., facing in the same direction (same wall) all the time."
