DBpediaLink	Dance	Label	Category	Thumbnail	Description	Beats	Tempo	Rhythm	Origin	Artists	Moves
http://dbpedia.org/resource/Argentine_tango	Argentine tango	Argentine Tango	Tango dance	http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Tango_couple_closeup.jpg/200px-Tango_couple_closeup.jpg	Argentine tango is not a set step, but a completely improvised dance combining various elements in a spontaneous manner, as determined by the lead. To be able to improvise, the dancer needs to learn the lead and implementation of the different single elements of Tango, so they can be produced later by leading appropriately in space and music. The elements are just a few as - caminar (walk), - cruce (cross), - ochos (figure-eight), - ganchos (leg hooks), - giros (turns), - contragiros (turns in the other direction), - sacadas (displacements), - boleos (this expression comes from boleadoras, - balls linked with cords, thrown to hunt animals), - llevadas de pie (moving foot by foot), - cortes (cuts), and - quebradas (breaks).	4 beats in each bar (measure)	30-32 beats per minute	Slow, Slow, Quick, Quick, Slow	Argentine	Gabriel Rivano;Ignacio Corsini;Pablo Elorza	Basic Corte;Change of Places;Closed Promenade;Contra Rock;Contra Rock to Reverse Pivot;Cross Body Lead to Triple Swivel;Gancho to Outside Swivel;Left-Turning Rock;Open Left Turn;Open Left Turn to Outside Swivel;Open Promenade ;Outside Swivel;Progressive Rocks;Promenade Pivot;Promenade Release to Open Fan;Promenade Release to Underarm Turn Left;Promenade With Left Swivel;Promenade With Right Turn;Rock to Promenade;Shadow Rocks
http://dbpedia.org/resource/Bachata_(dance)	Bachata (dance)	Bachata	Latin dances	NA	"Bachata is a style of dance that originated in the Dominican Republic. It is danced widely all over the world but not identically. The basics to the dance are three-step with a Cuban hip motion, followed by a tap including a hip movement on the 4th beat. The knees should be slightly bent so the performer can sway the hips easier. Generally, most of the dancer's movement is in the lower body up to the hips, and the upper body moves much less. In partnering, the lead can decide whether to perform in open or closed position. Dance moves, or step variety, during performance strongly depends on the music (such as the rhythms played by the different instruments), setting, mood, and interpretation. Unlike Salsa, Bachata dance does not usually include complex turn patterns but they are used more and more as the dance evolves. The leading is done just like in most other social dances, with a ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã¢â‚¬Å“pushing and pullingÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¯Ã‚Â¿Ã‚Â½ hand and arm communication. Hand and arm communication is better conveyed when most of the movement is performed by the lower body (from waist down); i.e. hips and footwork. Bachata is commonly known by many as a very sensual dance. To most it may seem that way, however, that is not what it is intended to be taken as. With that said bachata originated as a sort of ""mating call,"" if you were selected for a dance of bachata, you were chosen as a mate, two dances with the same individual, ""sealed the deal. "" The original dance style from the Dominican Republic in the Caribbean is a basic dance sequence in a full 8 count moving within a square. Dancers in the Western World later began developing a more simple pattern and added dance elements from other dances as well, the basic is also in a full 8 count, but with a side-to-side motion. Both Styles consist of 3 steps normal and then a tap step. The tap is often accompanied by a ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã¢â‚¬Å“popÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¯Ã‚Â¿Ã‚Â½ of the hips, and is sometimes substituted with syncopations (steps in between the beats - some similar to cha-cha-cha steps and others much different). Bachata music has an accent in rhythm at every fourth count. Often, this is when dancers will tap-step & pop their hips - this is called dancing bachata to the basic rhythm of the music (because the first step after the pop falls on the 1st beat of the measure). But bachata can be danced to different timings as well if it's danced to one particular instrument instead. The tab or 'pop' is done in the opposite direction of the last step, while the next step is taken on the same direction as the tap or pop. The dance direction changes after the tap or fourth step."	NA	NA	NA	USA		
http://dbpedia.org/resource/Balboa_(dance)	Balboa (dance)	Balboa	Swing dances	NA	"Balboa today is commonly used both as a term to describe a fusion of dances that originated in Southern California during the 1920s and 1930s, and also referring to a specific dance from that era that was the original Balboa (sometimes also referred to as Pure-Bal). The original Balboa dance is a form of swing dance that started as early as 1915 and gained in popularity in the 1930s and 1940s. It is danced primarily in close embrace, and is led with a full body connection. The art of Balboa is in the subtle communication between the lead and follow, including weight shifts, which most viewers cannot see. As a result, Balboa is considered more of a ""dancer's dance"" than a ""spectator's dance"". Its exact origins are obscure, especially as most of the original Balboa dancers have since died. Balboa is danced to a wide variety of tempos. Because the basic step takes up such a small space, Balboa can be danced to fast music (over 300 beats per minute). Balboa is also danced to slow music (under 100 beats per minute), which allows more time for intricate footwork and variations."	NA	NA	NA	USA		
http://dbpedia.org/resource/Ballet	Ballet	Ballet	Ballet	http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Degas-_La_classe_de_danse_1874.jpg/200px-Degas-_La_classe_de_danse_1874.jpg	Ballet is a type of performance dance that originated in the Italian Renaissance courts of the 15th century and later developed into a concert dance form in France and Russia. It has since become a widespread, highly technical form of dance with its own vocabulary. It has been globally influential and has defined the foundational techniques used in many other dance genres. Ballet may also refer to a ballet dance work, which consists of the choreography and music for a ballet production. A well-known example of this is The Nutcracker, a two-act ballet that was originally choreographed by Marius Petipa and Lev Ivanov with a music score by Pyotr Ilyich Tchaikovsky. Stylistic variations have emerged and evolved since the Italian Renaissance. Early variations are primarily associated with geographic origin. Examples of this are Russian ballet, French ballet, and Italian ballet. Later variations include contemporary ballet and neoclassical ballet. Perhaps the most widely known and performed ballet style is late Romantic ballet, which is a classical style that focuses on female dancers and features pointe work, flowing and precise acrobatic movements, and often presents the female dancers in traditional, short white French tutus. Ballet dance works (ballets) are choreographed and performed by trained artists, and often performed with classical music accompaniment. Early ballets preceded the invention of the proscenium stage and were performed in large chambers with the audience seated on tiers or galleries on three sides of the dance floor. Modern ballets may include mime and acting, and are usually set to music. Ballet requires years of training to learn and master, and much practice to retain proficiency. It has been taught in ballet schools around the world, which have historically used their own cultures to evolve the art. Ballet is the foundation of many types of dance.	NA	NA	NA	Italy		Basic Moves;Posse;Developpe;Advance Moves;Arabesque;Couru;Fondu;Fouette;Grand jete;Plie;Split
http://dbpedia.org/resource/Belly_Dance	Belly Dance	Belly Dance	Cultural dance	NA	"Belly dance or bellydance is a Western-coined name for ""solo, improvised dances based on torso articulation"" originating from the Middle East, especially raqs sharqi. Other names which are sometimes used for the dance in English speaking countries include Oriental Dance, Egyptian Dance, Arabic dance or Middle Eastern dance. Belly dance takes many different forms depending on the country and region, both in costume and dance style, and new styles have evolved in the West as its popularity has spread globally."	NA	NA	NA	Africa		
http://dbpedia.org/resource/Bolero	Bolero	Bolero	Spanish dances;Ballroom dance;Latin dances;Triple time dances	http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Lautrec_marcelle_lender_doing_the_bolero_in_'chilperic'_1895.jpg/200px-Lautrec_marcelle_lender_doing_the_bolero_in_'chilperic'_1895.jpg	Bolero is a genre of slow-tempo Latin music and its associated dance. There are Spanish and Cuban forms which are both significant and which have separate origins. The term is also used for some art music. In all its forms, the bolero has been popular for over a century.	NA	NA	NA	Spain		
http://dbpedia.org/resource/Boogie-woogie	Boogie-Woogie	Boogie Woogie	Swing dances	http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Boogie-woogie-bassline.svg/200px-Boogie-woogie-bassline.svg.png	"Boogie-woogie is an African American style of piano-based blues that became popular in the late 1930s and early 1940s, but originated much earlier, and was extended from piano, to three pianos at once, guitar, big band, and country and western music, and even gospel. While the blues traditionally depicts a variety of emotions, boogie-woogie is mainly associated with dancing. The lyrics of one of the earliest hits, ""Pinetop's Boogie Woogie"", consist entirely of instructions to dancers: Now, when I tell you to hold yourself, don't you move a peg. And when I tell you to get it, I want you to Boogie Woogie! It is characterized by a regular bass figure, in the left hand. The bass figure is transposed according to the chord changes. It is not strictly a solo piano style, but is also used to accompany singers and as a solo part in bands and small combos. It is sometimes called ""eight to the bar"", as much of it is written in common time (4/4) time using eighth notes. The chord progressions are typically based on I - IV - V - I (with many formal variations of it, such as I/i - IV/iv - v/I, as well as chords that lead into these ones. For the most part, boogie-woogie tunes are twelve-bar blues, although the style has been applied to popular songs such as ""Swanee River"" and hymns such as ""Just a Closer Walk with Thee"". Typical boogie woogie bassline:"	NA	NA	NA	Africa	"Amos Milburn;Ian Stewart (musician);Blind John Davis;Champion Jack Dupree;Erwin Helfer;Honey Piazza;Jools Holland;Katie Webster;Lenny Dee;Pinetop Perkins;Willie Love;Charlie Musselwhite;Little Willie Littlefield;Winifred Atwell;Booker T. Laury;Big Joe Duskin;Silvan Zingg;Whistlin' Alex Moore;Ivory Joe Hunter;Jimmy Yancey;Mitch Woods;Pinetop Smith;Cripple Clarence Lofton;Kenny ""Blues Boss"" Wayne;Robert Shaw (blues musician);Steve ""Big Man"" Clayton;Albert Ammons;Boogie Woogie Red;Christopher Holland;Garland Wilson;John P. Hammond;Little Brother Montgomery;Pete Johnson;Speckled Red;Michael Kaeshammer;Bob Baldori;Roosevelt Sykes;Johnny Parker (jazz pianist);Fats Domino;Vince Weber;Axel Zwingenberger;Jonah Jones;Charlie Spand;Christian Dozzler;Estelle Yancey;Hadda Brooks;Jabo Williams;James Crutchfield;Mose Vinson;Walter Roland;William Ezell;Rob Agerbeek;Gene Taylor (pianist);Rob Hoeke"	
http://dbpedia.org/resource/B-boying	Break Dance	Break Dance	Modern dances	NA	"B-boying or breaking is a style of street dance that originated among African American and Latino American youths in New York City during the early 1970s. Fast to gain popularity in the media, the dance spread worldwide especially in South Korea, United Kingdom, Germany, France, Russia, and Japan. While diverse in the amount of variation available in the dance, b-boying consists of four primary elements: toprock, downrock, power moves, and freezes. B-boying is typically danced to hip-hop and especially breakbeats, although modern trends allow for much wider varieties of music along certain ranges of tempo and beat patterns. A practitioner of this dance is called a b-boy, b-girl, or breaker. Although the term ""breakdance"" is frequently used to refer to the dance, ""b-boying"" and ""breaking"" are the original terms. These terms are preferred by the majority of the pioneers and most notable practitioners."	NA	NA	NA	African American		The Toprock;The Footwork;The Drops;The Power Moves;Freeze;Suicide
http://dbpedia.org/resource/Ceroc	Ceroc	Ceroc	Swing dances;Partner dance	NA	"Ceroc is a partner dance best described as a fusion of Salsa and Jive, but without the complicated footwork. It is derived from many other dances including French Jive, Swing, Lindy Hop, and Rock and Roll, the main change being simplified footwork which makes it more accessible to beginners. The footwork and hand patterns are similar to Merengue, but with the inclusion of outward turns, multiple turns and dips. It is danced to almost any music typically 60s through to modern popular music. It is generally danced to music with 4 beats to the bar, from latest chart hits to big band music and everything between, in a wide variety of tempos from slow to very fast. Some styles may concentrate on particular musical styles, such as swing. It does not require special clothes, though for both men and women, smooth soled (non-rubberised) shoes that are easy to turn/spin in are highly recommended. Ceroc is, like many partner dances, traditionally a male-led dance. Despite this tradition many female dancers today also learn the lead role, even though few male dancers learn the follow role. This is usually because Ceroc events have more female participants than male ones, and many males are less comfortable engaging in a partner dance with a member of the same sex than females are. It is sometimes suggested that Ceroc is suited to any type of music, but it best suits a tempo ranging from around 100 - 150 beats per minute. Outside the UK, Ceroc is less common, although it is very popular in Australia and New Zealand, and is slowly spreading to other areas of the world. The name 'Ceroc' is said to derive from the French ""C'est le roc"" (it's roc), used to describe rock n' roll dancing in France."	NA	NA	NA	England		
http://dbpedia.org/resource/Cha-cha-cha_(dance)	Cha-cha-cha (dance)	Cha Cha	Ballroom dance;Latin dances	http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ballroom_dance_competition_cha_cha_3.jpg/200px-Ballroom_dance_competition_cha_cha_3.jpg	"The Cha Cha is a vibrant, flamboyant and playful dance. The light and bubbly feel of the Cha Cha gives it a unique sense of fun for dancers throughout the world. The Cha Cha requires small steps and lots of hip motion (Cuban motion), as it is danced in 4/4 time. The fourth beat is split into two, giving it the characteristic 2,3,4 & 1 rhythm. Therefore, five steps are danced to four beats as in the ""One, two, cha cha cha"" rhythm. The basic components of the Cha Cha are triple steps and rock steps. Quick, small steps must be maintained throughout the dance. The distinctive movements of the hips result from the constant bending and straightening of the knees. Dancers must synchronize each movement as they dance parallel to one another. Because the Cha Cha is very similar to the Rumba and Mambo, several steps coincide with the steps of these dances. The main difference between the dances is that the ""slow"" steps of the Rumba and the Mambo are replaced with a triple step in the Cha Cha. To dance Cha Cha like professionals, dancers must master ""Cuban motion,"" the characteristic Latin body action. Cuban motion is simply a distinctive way in which the hips move up and down. The hip movements come mainly from alternately bending and straightening the knees...as one knee bends (or straightens), the same hip drops (raises)."	4 beats in each bar (measure)	NA	NA	Cuba		
